id_code,experiment,plate,well,sirna,well_type,img_path_root,cell_type
HEPG2-01_1_B02,HEPG2-01,1,B02,30,negative_control,train/HEPG2-01/Plate1/B02_s1,HEPG2
HEPG2-01_1_B02,HEPG2-01,1,B02,30,negative_control,train/HEPG2-01/Plate1/B02_s2,HEPG2
HEPG2-01_1_C03,HEPG2-01,1,C03,1,positive_control,train/HEPG2-01/Plate1/C03_s1,HEPG2
HEPG2-01_1_C03,HEPG2-01,1,C03,1,positive_control,train/HEPG2-01/Plate1/C03_s2,HEPG2
HEPG2-01_1_C07,HEPG2-01,1,C07,13,positive_control,train/HEPG2-01/Plate1/C07_s1,HEPG2
HEPG2-01_1_C07,HEPG2-01,1,C07,13,positive_control,train/HEPG2-01/Plate1/C07_s2,HEPG2
HEPG2-01_1_C11,HEPG2-01,1,C11,18,positive_control,train/HEPG2-01/Plate1/C11_s1,HEPG2
HEPG2-01_1_C11,HEPG2-01,1,C11,18,positive_control,train/HEPG2-01/Plate1/C11_s2,HEPG2
HEPG2-01_1_C15,HEPG2-01,1,C15,10,positive_control,train/HEPG2-01/Plate1/C15_s1,HEPG2
HEPG2-01_1_C15,HEPG2-01,1,C15,10,positive_control,train/HEPG2-01/Plate1/C15_s2,HEPG2
HEPG2-01_1_C19,HEPG2-01,1,C19,8,positive_control,train/HEPG2-01/Plate1/C19_s1,HEPG2
HEPG2-01_1_C19,HEPG2-01,1,C19,8,positive_control,train/HEPG2-01/Plate1/C19_s2,HEPG2
HEPG2-01_1_C22,HEPG2-01,1,C22,2,positive_control,train/HEPG2-01/Plate1/C22_s1,HEPG2
HEPG2-01_1_C22,HEPG2-01,1,C22,2,positive_control,train/HEPG2-01/Plate1/C22_s2,HEPG2
HEPG2-01_1_F03,HEPG2-01,1,F03,5,positive_control,train/HEPG2-01/Plate1/F03_s1,HEPG2
HEPG2-01_1_F03,HEPG2-01,1,F03,5,positive_control,train/HEPG2-01/Plate1/F03_s2,HEPG2
HEPG2-01_1_F07,HEPG2-01,1,F07,6,positive_control,train/HEPG2-01/Plate1/F07_s1,HEPG2
HEPG2-01_1_F07,HEPG2-01,1,F07,6,positive_control,train/HEPG2-01/Plate1/F07_s2,HEPG2
HEPG2-01_1_F11,HEPG2-01,1,F11,29,positive_control,train/HEPG2-01/Plate1/F11_s1,HEPG2
