,id_code,experiment,plate,well,sirna,well_type,img_path_root,cell_type
0,HEPG2-01_1_B02,HEPG2-01,1,B02,30,negative_control,train/HEPG2-01/Plate1/B02_s1,HEPG2
1,HEPG2-01_1_B02,HEPG2-01,1,B02,30,negative_control,train/HEPG2-01/Plate1/B02_s2,HEPG2
2,HEPG2-01_1_C03,HEPG2-01,1,C03,1,positive_control,train/HEPG2-01/Plate1/C03_s1,HEPG2
3,HEPG2-01_1_C03,HEPG2-01,1,C03,1,positive_control,train/HEPG2-01/Plate1/C03_s2,HEPG2
4,HEPG2-01_1_C07,HEPG2-01,1,C07,13,positive_control,train/HEPG2-01/Plate1/C07_s1,HEPG2
5,HEPG2-01_1_C07,HEPG2-01,1,C07,13,positive_control,train/HEPG2-01/Plate1/C07_s2,HEPG2
6,HEPG2-01_1_C11,HEPG2-01,1,C11,18,positive_control,train/HEPG2-01/Plate1/C11_s1,HEPG2
7,HEPG2-01_1_C11,HEPG2-01,1,C11,18,positive_control,train/HEPG2-01/Plate1/C11_s2,HEPG2
8,HEPG2-01_1_C15,HEPG2-01,1,C15,10,positive_control,train/HEPG2-01/Plate1/C15_s1,HEPG2
9,HEPG2-01_1_C15,HEPG2-01,1,C15,10,positive_control,train/HEPG2-01/Plate1/C15_s2,HEPG2
10,HEPG2-01_1_C19,HEPG2-01,1,C19,8,positive_control,train/HEPG2-01/Plate1/C19_s1,HEPG2
11,HEPG2-01_1_C19,HEPG2-01,1,C19,8,positive_control,train/HEPG2-01/Plate1/C19_s2,HEPG2
12,HEPG2-01_1_C22,HEPG2-01,1,C22,2,positive_control,train/HEPG2-01/Plate1/C22_s1,HEPG2
13,HEPG2-01_1_C22,HEPG2-01,1,C22,2,positive_control,train/HEPG2-01/Plate1/C22_s2,HEPG2
14,HEPG2-01_1_F03,HEPG2-01,1,F03,5,positive_control,train/HEPG2-01/Plate1/F03_s1,HEPG2
15,HEPG2-01_1_F03,HEPG2-01,1,F03,5,positive_control,train/HEPG2-01/Plate1/F03_s2,HEPG2
16,HEPG2-01_1_F07,HEPG2-01,1,F07,6,positive_control,train/HEPG2-01/Plate1/F07_s1,HEPG2
17,HEPG2-01_1_F07,HEPG2-01,1,F07,6,positive_control,train/HEPG2-01/Plate1/F07_s2,HEPG2
18,HEPG2-01_1_F11,HEPG2-01,1,F11,29,positive_control,train/HEPG2-01/Plate1/F11_s1,HEPG2
19,HEPG2-01_1_F11,HEPG2-01,1,F11,29,positive_control,train/HEPG2-01/Plate1/F11_s2,HEPG2
20,HEPG2-01_1_F15,HEPG2-01,1,F15,12,positive_control,train/HEPG2-01/Plate1/F15_s1,HEPG2
21,HEPG2-01_1_F15,HEPG2-01,1,F15,12,positive_control,train/HEPG2-01/Plate1/F15_s2,HEPG2
22,HEPG2-01_1_F19,HEPG2-01,1,F19,9,positive_control,train/HEPG2-01/Plate1/F19_s1,HEPG2
23,HEPG2-01_1_F19,HEPG2-01,1,F19,9,positive_control,train/HEPG2-01/Plate1/F19_s2,HEPG2
24,HEPG2-01_1_F22,HEPG2-01,1,F22,27,positive_control,train/HEPG2-01/Plate1/F22_s1,HEPG2
25,HEPG2-01_1_F22,HEPG2-01,1,F22,27,positive_control,train/HEPG2-01/Plate1/F22_s2,HEPG2
26,HEPG2-01_1_H03,HEPG2-01,1,H03,7,positive_control,train/HEPG2-01/Plate1/H03_s1,HEPG2
27,HEPG2-01_1_H03,HEPG2-01,1,H03,7,positive_control,train/HEPG2-01/Plate1/H03_s2,HEPG2
28,HEPG2-01_1_H07,HEPG2-01,1,H07,23,positive_control,train/HEPG2-01/Plate1/H07_s1,HEPG2
29,HEPG2-01_1_H07,HEPG2-01,1,H07,23,positive_control,train/HEPG2-01/Plate1/H07_s2,HEPG2
30,HEPG2-01_1_H11,HEPG2-01,1,H11,17,positive_control,train/HEPG2-01/Plate1/H11_s1,HEPG2
31,HEPG2-01_1_H11,HEPG2-01,1,H11,17,positive_control,train/HEPG2-01/Plate1/H11_s2,HEPG2
32,HEPG2-01_1_H15,HEPG2-01,1,H15,19,positive_control,train/HEPG2-01/Plate1/H15_s1,HEPG2
33,HEPG2-01_1_H15,HEPG2-01,1,H15,19,positive_control,train/HEPG2-01/Plate1/H15_s2,HEPG2
34,HEPG2-01_1_H19,HEPG2-01,1,H19,15,positive_control,train/HEPG2-01/Plate1/H19_s1,HEPG2
